nome,tipo,indirizzo_stradale,comune,provincia,cap,lat,lon,telefono,website,email,orari,cucina,osm_id,osm_type
Antares,ristorante,,,VR,,45.3699236,10.871463,,,,,,249561406,node
Bar Ferrari,caffè,,,VR,,45.3009863,10.7885246,,,,,,268411645,node
La Volpe,pub,,,VR,,45.2978857,10.7830751,,,,,,268411646,node
Bar,caffè,,,VR,,45.2931824,10.7760861,,,,,,268411647,node
Colombare,ristorante,,,VR,,45.4541858,11.0067378,,,,,,270478264,node
Bar Nautica,bar,Via Marra,Lazise,VR,37017,45.5030472,10.7332556,,,,,,278605159,node
Hermes,fast_food,,,VR,,45.5400429,10.780783,,,,,,292588473,node
Nuevo foodland,fast_food,,,VR,,45.5406434,10.7792531,,,,,,292588474,node
Senza nome,caffè,,,VR,,45.2685391,10.7702452,,,,,,293103903,node
Senza nome,caffè,,,VR,,45.266879,10.766415,,,,,,293105172,node
Senza nome,caffè,,,VR,,45.2650637,10.7671387,,,,,,293109269,node
Ristorante all'Ancora,ristorante,"Via Massimiliano Custoza, 111",Roverbella,VR,46048,45.2651637,10.7671838,+390376693170,,info@ristoranteallancora.com,"Tu-We off; Mo, Th-Sa 12:30-14:00, 19:30-21:45; Su 12:30-14:00, 19:30-21:30",fish,293109271,node
Bar Gelateria Cristallo,bar,"Piazza Giacomo Matteotti, 69",,VR,37011,45.546671,10.719668,+39 045 7210045,,,,,298523510,node
Rondò,caffè,,,VR,,45.4094937,11.2145317,,,,,,334514761,node
Caffè Il Mulino,bar,"Via Raffaello Sanzio, 16a",Borghetto di Valeggio sul Mincio,VR,37067,45.3538221,10.7247103,,,,,,338330490,node
Senza nome,bar,,,VR,,45.3537451,10.7247122,,,,,,338330492,node
Ristorante San Marco,ristorante,"Via Raffaello Sanzio, 10",Borghetto di Valeggio sul Mincio,VR,37067,45.3538071,10.7254287,,,,,italian,338330496,node
Trattoria El Fogolar,ristorante,"Via Giuseppe Mazzini, 151",Quaderni,VR,37069,45.3298937,10.788926,+39 045 794 0176,,,,regional,338345093,node
Cafè Divino,bar,"Via Carlo Montanari, 4",Mozzecane,VR,37060,45.3087492,10.8169632,+39 3389174741,,,,,338378701,node
Agli Americani,pub,,,VR,,45.4085945,11.2242932,,,,,,341795875,node
Pizzeria Il Pirata,ristorante,,,VR,,45.6908462,11.3726274,+390445511315,,,,pizza,343336537,node
Pizzeria Da Angelo,ristorante,,,VR,,45.68532,11.3782251,,,,"PH,We-Mo 17:00-01:00",pizza,343336577,node
Ristorante Due Mori - specialità pesce,ristorante,"Via Sant'Antonio, 41",San Vito di Leguzzano,VR,36030,45.6827383,11.3758934,,,,"Tu-Su 09:00-15:30,18:30-01:00",,348237880,node
Senza nome,panetteria,,,VR,,45.4931634,11.0190448,,,,,,360671268,node
Trattoria Pizzeria Quinto Miglio,ristorante,"Via Valpantena, 62a",Verona,VR,37142,45.4940857,11.0189187,+39 045 550361,https://www.quintomiglio.it/,,,,360676954,node
Villa Bongiovanni,ristorante,,,VR,,45.4138108,11.3280567,,,,,,377693849,node
Locanda Le Muse,ristorante,,,VR,,45.412911,11.3279343,,,,,,377694580,node
Rosso Peperone,ristorante,,,VR,,45.4838204,10.869978,,,,,,382906420,node
Sale e Pepe,caffè,,,VR,,45.4387818,10.7017719,,,,,,385674064,node
"Agriturismo ""Il Nuovo Borgo""",ristorante,"Via Borgo, 31",Montebello Vicentino,VR,,45.4716474,11.3949597,+39 0444 648300,,,"Su 12:00-15:00, Tu-Sa 12:00-15:00,19:00-22:30",italian,387742602,node
Villa Vento,ristorante,"Via Ossario, 24",Sommacampagna,VR,37066,45.3816717,10.7942944,+39 045 516003,https://www.ristorantevillavento.com/it/index.php,,"We-Su 12:15-14:00, 19:15-22:30, Mo-Tu off",,387777516,node
Piper,ristorante,,,VR,,45.4665727,11.0069433,,,,,,411286172,node
Senza nome,pub,,,VR,,45.4974098,11.0180448,,,,,,411481870,node
Pizzeria f222,ristorante,"Via Colonnello Giovanni Fincato, 222",Verona,VR,37131,45.4527461,11.0197745,,http://www.f222.it/,,,pizza,416517197,node
Bar Arsenale,bar,,,VR,,45.4415997,10.9868188,,,,,,419187675,node
Senza nome,caffè,,,VR,,45.4610401,10.9800603,,,,,,419197949,node
Senza nome,pub,,,VR,,45.4387867,10.9831152,,,,,,420190909,node
Bar autostazione,caffè,"Via Goffredo Mameli, 2",Verona,VR,37126,45.4497447,10.9936351,,,,,,428444946,node
Il Bacco d'oro - Parco di Venere,ristorante,"Via Venturi, 14",,VR,37030,45.4696387,11.1296585,,,,,,430617722,node
"Agriturismo ""La Cueva""",ristorante,,,VR,,45.386176,11.2658878,,,,,,432817213,node
Via Verde,ristorante,,,VR,,45.5960477,11.1066197,,,,,,441073455,node
Vintage cafe,bar,,,VR,,45.5143739,10.893777,,,,,,441248368,node
Pizza Planet,pub,"Via Croce, 1",Lazise,VR,,45.4717759,10.7423311,,,,,,446993510,node
Trattoria Molini,ristorante,"Via Valtesina, 21",Garda,VR,37016,45.5861613,10.7259967,+39 045 7256339,,,,regional,446993635,node
Absolute Cafè,bar,,,VR,,45.3719744,11.0328659,,,,,,447877957,node
Bar Magic,bar,,,VR,,45.3725352,11.0334496,,,,,,447877959,node
Pedrera 7.2,bar,,,VR,,45.5536705,10.7819821,,,,,,450126697,node
La Costa In Bra',ristorante,"Piazza Bra, 2",Verona,VR,37121,45.4396053,10.9932447,+39 045 597468,https://www.lacostainbra.it/,,Mo-Su 09:00-24:00,italian;pizza,455115982,node
Senza nome,bar,,,VR,,45.5735814,11.2277398,,,,,,472582059,node
Bellavista,ristorante,,,VR,,45.5937063,11.2094122,,,,,italian;pizza,472582348,node
Adele,ristorante,Via Villa Bolca,Bolca di Vestenanova,VR,37030,45.5942503,11.2078831,,,,,italian,472582378,node
Alla Palazzina,ristorante,"Località Prada Bassa, 11",San Zeno di Montagna,VR,37010,45.6650663,10.7711753,+39 045 6289251,,,,,474971982,node
Ristorante Pizzeria La Staffa,ristorante,,,VR,,45.3735356,11.2870075,+39 045 7636411,,,,pizza,475335023,node
Il Castagneto,ristorante,"Via Corrubio, 7",San Zeno di Montagna,VR,37010,45.6413101,10.7542011,+39 0457285121,https://hotelcastagnetosanzeno.it/,,,,475542083,node
Albergo Capriolo,ristorante,"Contrada Pra' Bestema', 38",San Zeno di Montagna,VR,37010,45.6474167,10.7561233,+39 045 7285127,,,,,475542085,node
Bar Italia,bar,,,VR,,45.3803677,11.2092581,,,,,,475591971,node
"Pizzeria ""Al gatto verde""",ristorante,,,VR,,45.380536,11.2128448,,,,,,475593850,node
Panificio Rossi,bar,,,VR,,45.3820065,11.2096524,,,,,,475600041,node
Pizza&pizza,fast_food,,,VR,,45.3820016,11.2092288,,,,,pizza,475620272,node
Caffè 73,caffè,,,VR,37017,45.5087744,10.7344566,,,,,,490182861,node
Senza nome,panetteria,,,VR,,45.508874,10.7344092,,,,,,490182863,node
Bar Europa,pub,"Piazza Vittorio Veneto, 13",,VR,37010,45.6064507,10.7267813,,,,,,492062961,node
El Brol,ristorante,"Piazza Vittorio Veneto, 7",,VR,37010,45.6061444,10.7270575,+39 045 6200043,https://www.elbrol.com/,,"Th-Tu 12:00-14:30, 18:30-22:30",regional,492062968,node
Malga Faggioli,ristorante,,,VR,,45.6503358,10.9893763,,,,,regional,493169757,node
Osteria al Duca,ristorante,"Via Arche Scaligere, 2",Verona,VR,37121,45.4434505,10.9993864,+39 045 594474,,,,,494911938,node
Il Giardinetto,ristorante,"Via Don Marcellino Faccio, 6",San Zeno di Montagna,VR,37010,45.631047,10.7226986,,https://ilgiardinetto.eu/,,"We off; Th-Tu 12:00-14:30,18:30-22:30",,495261072,node
Okfood,caffè,,,VR,,45.4161743,11.0855672,,,,,,497557583,node
Pizzeria Il Thempio,ristorante,,,VR,,45.417747,11.0826596,,,,,,497557600,node
Piccola locanda,ristorante,,,VR,,45.4794353,10.8695833,,,,,,503559600,node
Zorba,ristorante,,,VR,,45.4845874,10.8671873,,,,,greek,503559607,node
McDonald's,fast_food,,,VR,,45.5514809,10.788132,,,,"Fr,Sa 07:00-02:00, Su-Th 07:00-01:00",burger,504684725,node
Trattoria al tempio,ristorante,"Via Chioda, 118",Verona,VR,37136,45.4087527,10.9506599,,,,,,505736977,node
Trattoria dalla Mostaciona,ristorante,"Via Chioda, 120",Verona,VR,37136,45.4082767,10.9507372,,,,,,505739563,node
Chiaroscuro Cafè,bar,"Via Ponte, 99",,VR,37026,45.4800041,10.8624555,+39 340 3237278,,,,,506284136,node
Ristorante & Bar Montebaldina,ristorante,Via Lumini,San Zeno di Montagna,VR,,45.6284687,10.7559432,+39 045 7285176,https://www.hotelmontebaldina.it/,info@hotelmontebaldina.it,"Mo-Su 12:00-14:15,19:15-21:30",,506962049,node
Locanda Buglioni,ristorante,"Via Cariano, 24a",San Pietro in Cariano,VR,37029,45.5115365,10.8624192,,https://locandabuglioni.it/,,,italian,516200808,node
Pizzeria Italia,ristorante,,,VR,,45.4720945,10.9746413,,,,,,517251341,node
Casa Rosa,ristorante,,,VR,,45.481675,11.0433858,,,,,,521858974,node
Bacco Re,ristorante,"Via Roma, 36b",,VR,,45.3448189,10.8819136,,,,"Th-Mo 12:00-14:30, 18:30-00:00; Tu-We 12:30-14:30",italian_pizza,586449993,node
Bar Trieste,bar,,,VR,,45.3479273,10.880865,,,,,,586450142,node
Bar Neghelli,bar,,,VR,,45.3439517,10.8832387,,,,,,586450191,node
Archi bistrot & caffè,bar,,Grezzana,VR,37023,45.5191816,11.01623,,,,,,592295501,node
Senza nome,caffè,,,VR,,45.519726,11.0168048,,,,,,592295504,node
Bar Jolly,bar,,,VR,,45.5149748,11.0166117,,,,,,592295538,node
Da Umberto,ristorante,"Via Imbarcadero, 15",,VR,37010,45.687613,10.7497491,+39 045 743 0388,https://www.daumberto.it/,modenaluca@libero.it,Mo-Su 11:30-22:00,regional,596110979,node
Cafe Del Sorrentino,caffè,,,VR,,45.4674646,10.7129914,,,,,sandwich,600181201,node
Sunset Bar,fast_food,Via Porto,,VR,,45.4680206,10.7130523,,,,unknown,,600181205,node
Sifa Bar,caffè,"Via Porto, 16",Pacengo,VR,37010,45.4672846,10.7204841,,,,,,600181213,node
Camporosso,ristorante,,,VR,,45.4686195,10.7418991,,,,,,600181217,node
Alle Querce,ristorante,,,VR,,45.5910891,10.7859067,,,,,,610956960,node
Hotel Ristorante Costabella,ristorante,"Via degli Alpini, 1",San Zeno di Montagna,VR,37010,45.6318412,10.7259107,+39 045 7285046,,,,,667406979,node
Autogrill,ristorante,,,VR,,45.6949206,10.9166936,,,,,italian;regional,668642418,node
Area Servizio Povegliano Est,caffè,,,VR,,45.2971396,10.898121,,,,,,668646377,node
Area Servizio Povegliano Ovest,ristorante,,,VR,,45.2972181,10.8963283,+39 045 7925360,,,,burger,668646378,node
