#;File;Voce;Video
1;narratore1.mp3;Questa è la giornata di Marco, agente di commercio nel settore HoReCa. Vediamo come REPING, il suo AI CoPilot, lo aiuta a vendere di più, meglio e in meno tempo.;Schermata login con logo REPING → animazione caricamento → transizione fluida alla Dashboard
2;narratore2.mp3;Ore 8 del mattino. Marco apre REPING e trova subito la situazione aggiornata: dashboard con dati e info, promemoria intelligenti sui clienti che richiedono attenzione e piano delle visite programmate.;Dashboard completa: KPI cards animate (8 visite, €24.5k mese, 127 clienti) → promemoria "Bar Roma: non ordina da 45gg" che pulsa → sezione "Visite oggi" con lista
3;narratore3.mp3;A sinistra lo storico delle conversazioni. A destra tutte le funzioni e le impostazioni: visite, clienti, creazione promemoria, report, storici, modalità guida e molto altro.;Swipe da sinistra → drawer storico chat (4-5 conversazioni recenti) → chiude → swipe da destra → drawer menu con icone (Visite, Clienti, Promemoria, Report, Guida, Impostazioni) → chiude
4;narratore4.mp3;Marco controlla la scheda di Bar Roma, un cliente che non ordina da 45 giorni. Qui trova le note personali, lo storico ordini e i contatti. Tutto a portata di mano.;Tap su "Clienti" → lista clienti con scroll → barra ricerca: digita "Bar Roma" → tap sulla scheda → dettaglio cliente: foto/icona, indirizzo, telefono, badge "45gg" → scroll a note personali → scroll a storico ordini (3-4 righe con date e importi)
5;utente5.mp3;Che visite ho in programma oggi?;Tap su icona Chat → chat aperta → indicatore microfono ROSSO attivo → bubble utente che appare con testo che si scrive
6;reping6.mp3;Oggi hai 8 visite in programma. Bar Roma alle 9, poi Pizzeria Napoli, Hotel Centrale, Enoteca Verdi, Ristorante Milano, Caffè Centrale, Trattoria Da Gino e Pasticceria Dolce Vita. Percorso totale 138 chilometri. Ti consiglio di proporre i nuovi prodotti a Bar Roma, visto che da tempo ordina poco.;Bubble REPING che appare → lista visite che si costruisce riga per riga (orario + nome + km) → totale km evidenziato → suggerimento con icona 💡 che appare
7;utente7.mp3;Quanto ho fatturato questo mese?;Nuova bubble utente nella chat con testo
8;reping8.mp3;Questo mese hai fatturato 24.580 euro, il 18% in più rispetto al precedente. Ottimo lavoro!;Bubble REPING → cifra €24.580 grande e animata (counter) → badge verde "+18%" → mini grafico trend con barre che crescono → emoji 🎉
9;narratore9.mp3;REPING non aspetta le domande. Segnala automaticamente i clienti inattivi e le opportunità di miglioramento di personalizzazione della vendita.;Transizione a schermata "Suggerimenti" → card alert arancione "3 clienti inattivi da 30+ giorni" che appare → card blu "Opportunità: Hotel Centrale +40% ordini" → card verde "Target: mancano €5.420"
10;narratore10.mp3;Marco sale in auto e attiva la modalità guida. Ora può interagire con REPING solo con la voce, senza mai toccare né guardare lo schermo.;Tap su menu → tap su "Modalità Guida" → schermo che si trasforma: sfondo scuro, elementi grandi → icona auto/volante → badge "GUIDA ATTIVA" verde che pulsa → interfaccia minimale
11;reping11.mp3;Prossima tappa: Bar Roma, a 3 chilometri. Tempo stimato 5 minuti. Ricorda: Mario, il titolare, preferisce i prodotti biologici.;Interfaccia guida: nome cliente GRANDE "Bar Roma" → distanza "3 km" e tempo "5 min" animati → progress bar percorso → card nota "Mario preferisce bio" che scorre dal basso → indicatore "REPING sta parlando" con onde audio
12;narratore12.mp3;Uscito dal cliente, Marco registra la visita dettando a voce.;Transizione a form "Registra Visita" → header "Bar Roma" con badge "Visita" → campo importo vuoto → campo note vuoto → pulsante microfono ROSSO grande che pulsa
13;utente13.mp3;Ordine 210 euro. Il cliente ha chiesto i campioni della nuova linea crostatine, è molto interessato.;Waveform audio animata → campo importo si compila "€210" → campo note si compila parola per parola "Richiede campioni crostatine. Molto interessato." → indicatore registrazione attivo
14;reping14.mp3;Visita salvata. Prossima tappa: Pizzeria Napoli, a 5 chilometri.;Animazione check verde ✓ grande → messaggio "Visita salvata!" → card "Prossima tappa" che appare: "Pizzeria Napoli - 5 km" con freccia → pulsante "Naviga"
15;narratore15.mp3;A fine giornata, REPING genera automaticamente il report: 8 visite completate, 1.850 euro di fatturato, 138 chilometri percorsi.;Transizione a "Report Giornata" → data "11 Dicembre" → KPI animati: "8/8 visite" con check, "€1.850" counter, "138 km" → grafico a barre giornata → badge "Report inviato" con icona mail
16;utente16.mp3;Prima di REPING perdevo almeno un'ora al giorno tra pianificazione e appunti. Ora faccio tutto in pochi minuti e non dimentico più nulla. Il fatturato? Aumentato del 20% in tre mesi.;Pannello "Valuta la giornata" → stelle o pollici → cursore che clicca pollice SU → animazione like/cuore → testo testimonianza che appare come quote → avatar utente soddisfatto
17;narratore17.mp3;REPING. Vendi di più, meglio e in meno tempo.;Fade a sfondo gradient blu-viola → logo REPING grande animato → claim "Vendi di più, meglio e in meno tempo" che appare → CTA "Richiedi accesso Beta →" → badge "Beta disponibile" che pulsa
