nome,tipo,indirizzo_stradale,comune,provincia,cap,lat,lon,telefono,website,email,source
Malga Lessinia,restaurant,,Erbezzo,Verona,37020,45.6963188,11.0079324,,,,Originali
Ristorante Albergo Alle Fasse,restaurant,Via Fasse,Castelletto,Verona,37010,45.6650701,10.7478729,,,,Originali
Ca' Bottona,restaurant,Via Primo Maggio,Albarè,Verona,37010,45.5849861,10.7505201,,,,Originali
Rifugio Revolto,restaurant,286,Selva di Progno,Verona,37030,45.6954834,11.1189053,,,,Originali
La Barcaccia,restaurant,Via General Bonomi,Peschiera del Garda,Verona,37019,45.4392892,10.6987733,,,,Originali
Pizzeria dal Tato,restaurant,Via Europa Unita,Bardolino,Verona,37011,45.5513099,10.7239929,+390457211230,Mo-Su 12:00-22:00,12061492443,Originali
Albergo Panoramica,restaurant,Via Costabella,Cisano,Verona,37011,45.5276461,10.7344649,,,,Originali
Senza nome,restaurant,Via Balladoro,Lazise,Verona,37017,45.5087985,10.7344909,,,,Originali
Villa Velar - Ristorante & Pizza Lazise di Verona specialità Pesce di Mare,restaurant,Via Alberto della Scala,Lazise,Verona,37017,45.5000515,10.7480341,+393342083444,info.xxlpaninator@gmail.com,seafood;pizza,Originali
La Plume,restaurant,Via Risorgimento,Peschiera del Garda,Verona,37019,45.4400302,10.6898212,,,,Originali
Albergo Belvedere,restaurant,Via Don Cesare Scala,Rivalta,Verona,37020,45.6583305,10.8940317,+39-045-7270007,http://www.belvedererivalta.it/,info@belvedererivalta.it,Originali
Agriturismo Le Sigalette,restaurant,Via del Garda,Valeggio sul Mincio,Verona,37067,45.4035526,10.7207617,,,,Originali
Sosta & Gusta,restaurant,Via Venezia,Peschiera del Garda,Verona,37019,45.4422133,10.703394,,,,Originali
Rifugio Branchetto,restaurant,Strada Provinciale 6,Bosco Chiesanuova,Verona,37021,45.6751415,11.0629099,"+39 045 6784134, +39 347 4669315",https://www.rifugiobranchetto.it/,info@rifugiobranchetto.it,Originali
Baita Maso,restaurant,Via Castelberto,Erbezzo,Verona,37020,45.6588719,11.0056141,,,,Originali
Rifugio Dardo,restaurant,Strada Provinciale 14 dell'Alta Valpantena,Erbezzo,Verona,37020,45.6594686,10.9941539,,,,Originali
Zoccante,restaurant,Via Valecco,Bolca,Verona,37030,45.5918724,11.2212938,,,,Originali
La Collina,restaurant,SP36,Badia Calavena,Verona,37030,45.5607311,11.1833927,,,,Originali
Oishii,restaurant,Corso Milano,Verona,Verona,37138,45.4441566,10.9670255,,,,Originali
Pineta,restaurant,Via Gianattilio Dalla Bona,Verona,Verona,37123,45.4316336,10.9787285,,,,Originali
