nome,tipo,indirizzo_stradale,comune,provincia,cap,lat,lon
"Malga Lessinia","restaurant","","Erbezzo","Verona","37020","45.6963188","11.0079324"
"Ristorante Albergo Alle Fasse","restaurant","Via Fasse","Castelletto","Verona","37010","45.6650701","10.7478729"
"Ca' Bottona","restaurant","Via Primo Maggio","Albarè","Verona","37010","45.5849861","10.7505201"
"Rifugio Revolto","restaurant","286","Selva di Progno","Verona","37030","45.6954834","11.1189053"
"La Barcaccia","restaurant","Via General Bonomi","Peschiera del Garda","Verona","37019","45.4392892","10.6987733"
"Pizzeria dal Tato","restaurant","Via Europa Unita","Bardolino","Verona","37011","45.5513099","10.7239929"
"Albergo Panoramica","restaurant","Via Costabella","Cisano","Verona","37011","45.5276461","10.7344649"
"","restaurant","Via Balladoro","Lazise","Verona","37017","45.5087985","10.7344909"
"Villa Velar - Ristorante & Pizza Lazise di Verona specialità Pesce di Mare","restaurant","Via Alberto della Scala","Lazise","Verona","37017","45.5000515","10.7480341"
"La Plume","restaurant","Via Risorgimento","Peschiera del Garda","Verona","37019","45.4400302","10.6898212"
"Albergo Belvedere","restaurant","Via Don Cesare Scala","Rivalta","Verona","37020","45.6583305","10.8940317"
"Agriturismo Le Sigalette","restaurant","Via del Garda","Valeggio sul Mincio","Verona","37067","45.4035526","10.7207617"
"Sosta & Gusta","restaurant","Via Venezia","Peschiera del Garda","Verona","37019","45.4422133","10.703394"
"Rifugio Branchetto","restaurant","Strada Provinciale 6","Bosco Chiesanuova","Verona","37021","45.6751415","11.0629099"
"Baita Maso","restaurant","Via Castelberto","Erbezzo","Verona","37020","45.6588719","11.0056141"
"Rifugio Dardo","restaurant","Strada Provinciale 14 dell'Alta Valpantena","Erbezzo","Verona","37020","45.6594686","10.9941539"
"Zoccante","restaurant","Via Valecco","Bolca","Verona","37030","45.5918724","11.2212938"
"La Collina","restaurant","SP36","Badia Calavena","Verona","37030","45.5607311","11.1833927"
"Oishii","restaurant","Corso Milano","Verona","Verona","37138","45.4441566","10.9670255"
"Pineta","restaurant","Via Gianattilio Dalla Bona","Verona","Verona","37123","45.4316336","10.9787285"
"Pizzeria Grotta Azzurra 2","restaurant","Largo Perlar","Verona","Verona","37135","45.4073394","10.9768137"
"Mensa Universitaria ESU - San Francesco","restaurant","Vicolo Cieco Dietro San Francesco","Verona","Verona","37129","45.4359208","11.0031262"
"Ristorante Catena sas di Zampieri Laura & C","restaurant","Viale Europa","Grezzana","Verona","37023","45.52395","11.0211143"
"The Brothers","restaurant","Viale Olimpia","Grezzana","Verona","37023","45.5232232","11.0174314"
"Ristorante Pizzeria Nuova Speranza","restaurant","Via Gardesane","Verona","Verona","37139","45.4507955","10.9332002"
"Dolce Gusto","restaurant","Via Sottomonte","Verona","Verona","37124","45.4731332","10.9526686"
"Park Hotel Elefante","restaurant","Strada Bresciana","Verona","Verona","37139","45.4463953","10.9272593"
"Locanda al Confin e Osteria le Piere","restaurant","Via Quercia","Verona","Verona","37141","45.5360552","11.0697284"
"Osteria Girasole Ristorante","restaurant","Via Prealpi","Grezzana","Verona","37023","45.5465238","11.0031595"
"ITaste","restaurant","Via Tavigliana","Grezzana","Verona","37023","45.5293281","11.0127385"
"","restaurant","Via Monte Rosa","Verona","Verona","37132","45.4268106","11.0574785"
"Agriturismo Altobello","restaurant","Via Volte Maso","Verona","Verona","37125","45.4967342","10.9833701"
"Trattoria dalla Valentina","restaurant","Via Cancello","Verona","Verona","37141","45.51689","11.0876288"
"L'Aquila","restaurant","Via Fenilon","Verona","Verona","37137","45.4235188","10.9481937"
"Osteria Verona Antica","restaurant","Via Sottoriva","Verona","Verona","37121","45.4437969","11.0006699"
